№ реєстр.картки,Ідент. номер /кліпса,Дата реєстрації,Кличка,стать ,,"вага, кг",Вакцинація проти сказу (дата),Стерилізація/ кастрація (дата),Місце відлову,Перебування/
,,,,,вік,,,,,дата вибуття
686,,10/26/2024,Том,к,2міс,3,,,мрео,10/26/2024
687,,10/26/2024,Джері,к,2міс,2.5,,,бам,11/14/2024
688,,10/27/2024,Рекс,к,2міс,2.6,,,бам,11/15/2024
689,,10/27/2024,Аліса,с,2міс,2.5,,,бам,11/15/2024
690,,10/31/2024,Валєра,,,27,,,переяславська,
691,,10/30/2024,Джесіка,с,7міс.,16,,,мрео,10/31/2024
692,,11/3/2024,Малиш,к,7міс.,11,,,індустіальна,
693,,11/5/2024,Льолік,к,,5,,,БАМ,
694,,11/5/2024,Голік,к,,5,,,БАМ,
695,,11/6/2024,Лада,с,2,15,,,БАМ,11/24/2024
696,,11/9/2024,Пальма ,с,,16,,,МРЕО,
697,,11/11/2024,Джеріка,с,4,25,,,райлікарня,11/30/2024
698,,11/10/2024,Адольф,к,4міс,15.1,,11/13/2024,аеродром,11/14/2024
699,,11/15/2024,Вахтанг,к,9мвс.,5,,,Б. Носенка,12/7/2024
701,,11/15/2024,Пер,к,,25,,,АТП,
702,,11/16/2024,Марта,с,,3,,,БАМ,
703,,11/16/2024,Одін,к,2,19,,,Рокітне,11/16/2024
704,,11/23/2024,Бім,к,,25,,,Гвардійська ,
705,,11/24/2024,Чорний,к,,22,,,Комітерна,
706,,11/26/2024,Муха,с,1,14,,11/26/2024,пров. Залізнодорожній,11/26/2024
708,,11/28/2024,Жданка,с,6,22,,,пров. Фабричний,11/30/2024
709,,11/28/2024,Леся,с,,16,,,індустіальна,
710,,12/1/2024,Юля,с,,25,,,в/м №12,
711,,12/4/2024,Бімчик,к,,16,,,Рокітне,
712,,12/4/2024,Топік,к,,13,,,Рокітне,
713,,10/16/2024,Нюша,с,8,13,7/14/2024,,7 гастроном,10/16/2024
714,,10/14/2024,Ливко,к,6міс,12,10/15/2024,,БАМ,10/15/2024
715,,10/16/2024,Білочка,с,2,12,10/14/2024,,Рокітне,10/16/2024
716,,10/21/2024,цуценя,к,3міс,4.5,,,промзона,10/21/2024
717,,10/22/2024,Ася,с,"1,5 міс",1.5,10/22/2024,,Рокітне,10/22/2024
718,,,,,,,,,,
719,,12/15/2024,Чупа,с,7,17,12/15/2024,,район меблевого,12/15/2024
720,,,,,,,,,,
721,,12/15/2024,Жулька,с,9 міс,7,12/15/2024,,хімчистка,12/15/2024
722,,12/14/2024,Ріта,с,5,13,12/14/2024,,40 магазин,12/14/2024
723,,12/14/2024,Сандра,с,3,13,12/14/2024,,МРЕО,12/14/2024
